user_id,item,rating
U001,BS Resto,4.2
U001,"Warung Makan Senerek ""Bu Atmo""",4.6
U001,Kuliner Sigaluh,4.7
U001,Kuliner Lembah Tidar,4.1
U001,Ramenhead Magelang,4.6
U001,Mie Gacoan Tidar Magelang,4.9
U001,Kitakata Ramen & Donburi Magelang,4.6
U001,Sop Senerek Pak Parto,4.6
U001,Rumah Makan Magelang,4.4
U001,Kuliner Griyo Semiliir,4.1
U001,"Sate Babi dan Sop Bakut 39 Magelang, Cab Pecenongan Jakarta Magelang",4.3
U001,Depot Es Semanggi,4.9
U001,Kuliner sejuta bunga,3.9
U001,"Bakso dan Nasi Goreng Pak Eko , Kuliner TVJ alun alun",4.4
U001,Tahu Pojok Magelang 1,4.3
U001,Rame Rame Cafeatery Magelang,5.0
U001,Choky Spaghetti - Magelang Kota,5.0
U001,Kuliner Cak Win,4.3
U001,Sop Buntut Haji Wongso Magelang,4.2
U001,Nasi Goreng Pak Dodok,4.5
U002,Kampung Ulam Ngrajek,4.7
U002,Gohan-Ku Magelang,4.6
U002,Ayam Goreng Ninit,4.6
U002,Kupat Tahu Pak Larto,4.8
U002,Gudeg Poncol,4.3
U002,Kuliner Rest Area Banjarnegoro,4.2
U002,"Tahu Kupat ""PELOPOR""",4.6
U002,Patio Colonial,4.6
U002,"Kuliner Legend ""Mie AA Chinese Food""",4.4
U002,YANGKOMOCHI MAGELANG,4.8
U002,Angkringan Mas Didot,4.4
U002,Ayam Penyet Surabaya Magelang,4.4
U002,Wedang Kacang Kebon,4.3
U002,Ronde Miroso,4.6
U002,Cafetaria Cemara Dua,4.4
U002,Choky Spaghetti - Magelang Kota,4.7
U003,Pusat Oleh - Oleh Lezat,4.5
U003,Sego N'Deso,4.2
U003,Kuliner Serayu,4.4
U003,Cafe and Resto Mr.jo Magelang,5.0
U003,WM Sehati Spesial Mangut Beong dan Homestay,4.7
U003,Nasi Goreng Pak Dodok,4.4
U003,Mie Gacoan Tidar Magelang,4.8
U003,Kuliner Rindam,4.3
U003,Warung Makan Mbok Ganjar,4.7
U003,NGEMILYUKK MAGELANG STORE,4.3
U003,Seafood Alun Alun Magelang,4.1
U003,Warung makan Mbok Tu,4.3
U003,Nasi Goreng Pak Yatno,4.5
U003,Choky Spaghetti - Magelang Kota,4.8
U003,Makanan Beku,5.0
U003,Tahu Pojok Magelang 1,4.7
U003,PHUKET - Authentic Southern Thai Food & Grocery Store,4.7
U004,Kitakata Ramen & Donburi Magelang,4.9
U004,Bond Cafe,4.1
